name,ra,dec,l,b,N,velocity,distance,members
NGC2775,137.5,7.0,85.0,-50.0,3,1222.0,70.0,"2775,UGC4781,UGC4797."
NGC1097,41.25,-29.700000762939453,271.0,-31.0,3,1229.0,60.0,"1079,1097,IC1826."
NGC4565,189.75,25.899999618530273,90.0,3.0,6,1243.0,55.0,"4494,4525,4562,4565,4725,4747."
NGC4976,197.0,-49.599998474121094,165.0,-10.0,4,1261.0,70.0,"4945A,4976,ESO219-21,ESO219-27."
NGC3640,170.25,3.299999952316284,106.0,-22.0,5,1273.0,85.0,"3611,3630,3640,3664,UGC6345."
NGC3190,154.25,22.0,80.0,-28.0,5,1283.0,80.0,"3162,3185,3187,3190,3193."
NGC4643,190.75,1.7999999523162842,114.0,-2.0,3,1292.0,80.0,"4643,UGC7824,UGC7911."
NGC3245,157.25,28.700000762939453,76.0,-22.0,4,1308.0,75.0,"3245,3245A,3254,3277."
NGC5121,201.25,-37.70000076293945,155.0,-4.0,4,1328.0,70.0,"5121,5121A,ESO324-23,ESO382-45."
ESO221-26,213.0,-47.400001525878906,167.0,1.0,5,1330.0,65.0,"IC4402,ESO221-26,ESO222-1,ESO222-4,ESO271-10."
UGC2800,56.0,71.19999694824219,13.0,3.0,4,1342.0,65.0,"UGC2800,UGC2813,UGC2855,UGC2890."
NGC2836,136.75,-68.80000305175781,193.0,-33.0,3,1357.0,65.0,"2788,2836,ESO60-19."
NGC2985,148.25,72.19999694824219,39.0,3.0,3,1359.0,70.0,"2985,3027,UGC5455."
NGC6340,258.75,71.9000015258789,35.0,32.0,3,1366.0,70.0,"6340,6395,UGC10713."
